day,vormittags,nachmittags,abends,nachts,n_tracks,n_utracks,n_arts,gesamt
1,0.0,78.04,34.49,0.0,22,22,5,112.53
2,0.0,42.49,54.1,0.0,21,21,12,96.59
3,58.78,30.48,0.0,0.0,16,16,4,89.26
4,67.48,55.05,0.0,0.0,27,27,14,122.53
5,25.52,163.08,45.49,0.0,52,51,21,234.09
6,9.42,103.66,87.69,0.0,48,48,11,200.77
7,133.7,98.93,31.81,0.0,54,53,15,264.44
8,51.66,146.42,57.54,14.08,52,51,7,269.7
9,35.31,161.85,41.28,0.0,43,43,11,238.44
10,36.03,76.94,21.24,0.0,31,31,8,134.21
11,20.16,195.32,0.0,0.0,39,39,12,215.48
12,44.76,75.62,0.0,0.0,26,26,7,120.38
13,25.41,88.12,53.38,7.75,36,36,4,174.66
14,26.04,135.81,0.0,0.0,36,36,5,161.85
15,22.79,109.3,0.0,0.0,33,33,8,132.09
16,49.98,89.86,0.0,0.0,31,31,6,139.84
17,0.0,0.0,0.0,0.0,0,0,0,0.0
18,67.64,0.0,0.0,0.0,17,17,3,67.64
19,0.0,23.78,0.0,0.0,6,6,1,23.78
20,0.0,62.42,87.85,0.0,29,28,10,150.27
21,65.11,85.62,33.13,54.13,47,47,11,237.99
22,0.0,0.0,0.0,33.22,5,5,1,33.22
23,0.0,40.42,0.0,0.0,11,11,3,40.42
24,0.0,57.82,0.0,0.0,13,13,8,57.82
25,20.41,82.44,0.0,0.0,22,21,7,102.85
26,21.15,62.23,0.0,0.0,16,16,2,83.38
27,0.0,40.83,0.0,0.0,7,7,2,40.83
28,0.0,63.96,0.0,0.0,11,11,6,63.96
29,0.0,0.0,0.0,0.0,0,0,0,0.0
30,61.27,0.0,0.0,0.0,12,12,6,61.27
31,0.0,0.0,0.0,0.0,0,0,0,0.0
