index,variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
0,Talking Heads,1,0.0,0.0,0.0,0.0,0.0,0
1,New Order,1,69.25,8.0,8.0,40.12,576.21,7
2,The Human League,1,0.0,0.0,0.0,0.0,0.0,0
3,Franco Battiato,1,0.0,0.0,0.0,0.0,0.0,0
4,Ultravox,1,0.0,0.0,0.0,0.0,0.0,0
5,Depeche Mode,1,0.0,0.0,0.0,0.0,0.0,0
6,King Crimson,1,0.0,0.0,0.0,0.0,0.0,0
7,The Beatles,1,0.0,0.0,0.0,0.0,0.0,0
8,Frank Zappa,1,0.0,0.0,0.0,0.0,0.0,0
9,Premiata Forneria Marconi,1,0.0,0.0,0.0,0.0,0.0,0
10,Talking Heads,2,10.39,1.0,1.0,5.72,637.02,2
11,New Order,2,10.35,1.0,1.0,5.63,576.21,2
12,The Human League,2,9.31,1.0,1.0,3.3,554.77,1
13,Franco Battiato,2,0.0,0.0,0.0,0.0,0.0,0
14,Ultravox,2,9.71,1.0,1.0,4.15,391.41,1
15,Depeche Mode,2,0.0,0.0,0.0,0.0,0.0,0
16,King Crimson,2,0.0,0.0,0.0,0.0,0.0,0
17,The Beatles,2,0.0,0.0,0.0,0.0,0.0,0
18,Frank Zappa,2,0.0,0.0,0.0,0.0,0.0,0
19,Premiata Forneria Marconi,2,0.0,0.0,0.0,0.0,0.0,0
20,Talking Heads,3,0.0,0.0,0.0,0.0,0.0,0
21,New Order,3,112.21,13.0,13.0,78.55,576.21,8
22,The Human League,3,0.0,0.0,0.0,0.0,0.0,0
23,Franco Battiato,3,0.0,0.0,0.0,0.0,0.0,0
24,Ultravox,3,0.0,0.0,0.0,0.0,0.0,0
25,Depeche Mode,3,0.0,0.0,0.0,0.0,0.0,0
26,King Crimson,3,0.0,0.0,0.0,0.0,0.0,0
27,The Beatles,3,0.0,0.0,0.0,0.0,0.0,0
28,Frank Zappa,3,0.0,0.0,0.0,0.0,0.0,0
29,Premiata Forneria Marconi,3,0.0,0.0,0.0,0.0,0.0,0
30,Talking Heads,4,0.0,0.0,0.0,0.0,0.0,0
31,New Order,4,10.01,1.0,1.0,4.82,576.21,2
32,The Human League,4,0.0,0.0,0.0,0.0,0.0,0
33,Franco Battiato,4,83.82,10.0,10.0,42.58,435.24,8
34,Ultravox,4,19.72,2.0,2.0,12.09,391.41,2
35,Depeche Mode,4,10.05,1.0,1.0,4.92,246.26,2
36,King Crimson,4,0.0,0.0,0.0,0.0,0.0,0
37,The Beatles,4,0.0,0.0,0.0,0.0,0.0,0
38,Frank Zappa,4,0.0,0.0,0.0,0.0,0.0,0
39,Premiata Forneria Marconi,4,0.0,0.0,0.0,0.0,0.0,0
40,Talking Heads,5,0.0,0.0,0.0,0.0,0.0,0
41,New Order,5,0.0,0.0,0.0,0.0,0.0,0
42,The Human League,5,10.08,1.0,1.0,4.98,554.77,2
43,Franco Battiato,5,0.0,0.0,0.0,0.0,0.0,0
44,Ultravox,5,112.64,14.0,13.0,65.28,391.41,8
45,Depeche Mode,5,0.0,0.0,0.0,0.0,0.0,0
46,King Crimson,5,10.33,1.0,1.0,5.57,240.46,2
47,The Beatles,5,103.35,13.0,13.0,36.28,238.87,8
48,Frank Zappa,5,27.89,3.0,3.0,15.75,234.56,3
49,Premiata Forneria Marconi,5,0.0,0.0,0.0,0.0,0.0,0
50,Talking Heads,6,100.86,12.0,12.0,56.56,637.02,8
51,New Order,6,19.66,2.0,2.0,11.9,576.21,2
52,The Human League,6,35.84,4.0,4.0,18.96,554.77,4
53,Franco Battiato,6,0.0,0.0,0.0,0.0,0.0,0
54,Ultravox,6,18.62,2.0,2.0,8.91,391.41,2
55,Depeche Mode,6,0.0,0.0,0.0,0.0,0.0,0
56,King Crimson,6,0.0,0.0,0.0,0.0,0.0,0
57,The Beatles,6,0.0,0.0,0.0,0.0,0.0,0
58,Frank Zappa,6,9.01,1.0,1.0,2.72,234.56,1
59,Premiata Forneria Marconi,6,0.0,0.0,0.0,0.0,0.0,0
60,Talking Heads,7,27.73,3.0,3.0,15.23,637.02,3
61,New Order,7,45.44,5.0,5.0,28.509999999999998,576.21,5
62,The Human League,7,36.88,4.0,4.0,22.630000000000003,554.77,4
63,Franco Battiato,7,66.69,8.0,8.0,29.5,435.24,7
64,Ultravox,7,69.37,8.0,8.0,40.62,391.41,7
65,Depeche Mode,7,0.0,0.0,0.0,0.0,0.0,0
66,King Crimson,7,0.0,0.0,0.0,0.0,0.0,0
67,The Beatles,7,0.0,0.0,0.0,0.0,0.0,0
68,Frank Zappa,7,0.0,0.0,0.0,0.0,0.0,0
69,Premiata Forneria Marconi,7,0.0,0.0,0.0,0.0,0.0,0
70,Talking Heads,8,54.64,6.0,6.0,37.49,637.02,6
71,New Order,8,11.09,1.0,1.0,7.49,576.21,2
72,The Human League,8,161.46,20.0,19.0,101.97,554.77,8
73,Franco Battiato,8,0.0,0.0,0.0,0.0,0.0,0
74,Ultravox,8,0.0,0.0,0.0,0.0,0.0,0
75,Depeche Mode,8,0.0,0.0,0.0,0.0,0.0,0
76,King Crimson,8,0.0,0.0,0.0,0.0,0.0,0
77,The Beatles,8,0.0,0.0,0.0,0.0,0.0,0
78,Frank Zappa,8,0.0,0.0,0.0,0.0,0.0,0
79,Premiata Forneria Marconi,8,0.0,0.0,0.0,0.0,0.0,0
80,Talking Heads,9,28.97,3.0,3.0,19.4,637.02,3
81,New Order,9,10.21,1.0,1.0,5.3,576.21,2
82,The Human League,9,11.12,1.0,1.0,7.55,554.77,2
83,Franco Battiato,9,98.86,12.0,12.0,47.24,435.24,8
84,Ultravox,9,9.57,1.0,1.0,3.85,391.41,1
85,Depeche Mode,9,0.0,0.0,0.0,0.0,0.0,0
86,King Crimson,9,0.0,0.0,0.0,0.0,0.0,0
87,The Beatles,9,35.99,4.0,4.0,19.47,238.87,4
88,Frank Zappa,9,95.92,11.0,11.0,66.7,234.56,8
89,Premiata Forneria Marconi,9,28.02,3.0,3.0,16.17,214.01,3
90,Talking Heads,10,0.0,0.0,0.0,0.0,0.0,0
91,New Order,10,0.0,0.0,0.0,0.0,0.0,0
92,The Human League,10,0.0,0.0,0.0,0.0,0.0,0
93,Franco Battiato,10,106.21,13.0,13.0,48.86,435.24,8
94,Ultravox,10,0.0,0.0,0.0,0.0,0.0,0
95,Depeche Mode,10,0.0,0.0,0.0,0.0,0.0,0
96,King Crimson,10,10.81,1.0,1.0,6.75,240.46,2
