artist_score,vormittags,nachmittags,abends,nachts,group,gesamt
637.02,59.73,353.6,37.18,4.72,Talking Heads,455.2300000000001
576.21,189.69,189.41,15.08,35.25,New Order,429.43
554.77,57.47,251.79,72.25,47.3,The Human League,428.81
435.24,94.89,147.9,26.35,3.89,Franco Battiato,273.03000000000003
391.41,69.0,115.84,77.99,12.98,Ultravox,275.81
246.26,82.93,60.93,0.0,0.0,Depeche Mode,143.86
240.46,6.28,91.21,46.03,0.0,King Crimson,143.51999999999998
238.87,36.04,86.34,0.0,0.0,The Beatles,122.38
234.56,12.61,83.31,44.9,0.0,Frank Zappa,140.82
214.01,0.0,129.1,0.0,0.0,Premiata Forneria Marconi,129.1
