artist_score,vormittags,nachmittags,abends,nachts,group
637.02,59.730000000000004,353.6,37.18,4.72,Talking Heads
576.21,189.69,189.41,15.08,35.25,New Order
554.77,57.47,251.79,72.25,47.3,The Human League
435.24,94.89,147.9,26.35,3.89,Franco Battiato
391.41,69.0,115.84,77.99,12.98,Ultravox
246.26,82.93,60.93,0.0,0.0,Depeche Mode
240.46,6.279999999999999,91.21000000000001,46.03,0.0,King Crimson
238.87,36.04,86.34,0.0,0.0,The Beatles
234.56,12.610000000000001,83.31,44.9,0.0,Frank Zappa
214.01,0.0,129.1,0.0,0.0,Premiata Forneria Marconi
204.1,51.06,81.03,6.54,0.0,Jasper van't Hofs Pili Pili
181.8,4.16,85.66,9.0,0.0,Joy Division
167.1,26.95,13.79,49.18,5.05,Jerry Harrison
140.65,0.0,91.41,0.0,0.0,Yes
134.47,3.28,61.94,3.5,0.0,XTC
113.49,4.23,36.18,18.29,0.0,The Sound
110.69,0.0,30.900000000000002,22.86,0.0,The Tubes
108.0,0.0,18.31,32.06,0.0,The Police
103.18,30.69,23.98,0.0,0.0,Kajagoogoo
102.59,22.63,0.0,26.0,0.0,PJ Harvey
