day,vormittags,nachmittags,abends,nachts,n_tracks,n_utracks,n_arts,gesamt
1,43.92,54.64,56.06,22.02,23,23,6,176.64
2,34.34,179.52,23.07,174.53,73,73,13,411.46
3,5.09,5.55,147.48,157.35,63,56,5,315.47
4,11.1,63.17,0.0,68.1,32,29,2,142.37
5,0.0,122.92,0.0,0.0,27,27,7,122.92
6,40.39,95.12,51.79,20.44,44,43,14,207.74
7,90.84,5.0,0.0,16.1,21,21,7,111.94
8,0.0,103.43,95.04,0.0,42,42,6,198.47
9,76.5,58.91,40.99,93.05,48,47,3,269.45
10,37.78,82.87,42.49,180.09,81,35,4,343.23
11,0.0,0.0,0.0,13.29,3,3,2,13.29
12,0.0,88.05,0.0,0.0,23,23,2,88.05
13,0.0,13.71,31.84,55.31,24,24,3,100.86
14,0.0,0.0,0.0,91.76,17,17,4,91.76
15,16.17,92.65,0.0,66.89,40,40,5,175.71
16,25.03,17.5,0.0,20.67,15,15,7,63.2
17,0.0,23.1,0.0,0.0,6,6,2,23.1
18,20.4,27.74,0.0,123.73,42,42,9,171.87
19,3.89,122.83,115.77,0.0,49,49,4,242.49
20,0.0,60.5,0.0,0.0,12,12,2,60.5
21,39.24,16.03,0.0,68.53,26,26,9,123.8
22,21.47,0.0,0.0,0.0,3,3,2,21.47
23,15.75,43.24,0.0,36.45,25,25,4,95.44
24,19.86,70.32,56.19,90.86,52,50,12,237.23
25,0.0,83.88,0.0,0.0,22,21,1,83.88
26,0.0,0.0,0.0,0.0,0,0,0,0.0
27,0.0,0.0,0.0,0.0,0,0,0,0.0
28,83.99,78.39,0.0,170.57,69,61,5,332.95
29,23.8,23.13,31.45,98.97,35,28,5,177.35
30,0.0,0.0,0.0,0.0,0,0,0,0.0
31,29.02,76.45,0.0,0.0,22,22,4,105.47
