variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
Ultravox,1,0.0,0.0,0.0,0.0,0.0,0
New Order,1,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,1,51.96,6.0,6.0,26.67,681.49,6
Franco Battiato,1,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,1,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,1,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,1,68.86,7.0,7.0,71.49,256.42,7
XTC,1,0.0,0.0,0.0,0.0,0.0,0
Yazoo,1,34.44,4.0,4.0,14.3,196.69,4
PJ Harvey,1,0.0,0.0,0.0,0.0,0.0,0
Ultravox,2,257.96,31.0,31.0,201.06,1187.17,8
New Order,2,93.53,11.0,11.0,55.02,879.49,8
The Rolling Stones,2,85.8,10.0,10.0,51.57,681.49,8
Franco Battiato,2,26.91,3.0,3.0,12.67,665.44,3
Talking Heads,2,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,2,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,2,0.0,0.0,0.0,0.0,0.0,0
XTC,2,0.0,0.0,0.0,0.0,0.0,0
Yazoo,2,10.87,1.0,1.0,6.92,196.69,2
PJ Harvey,2,0.0,0.0,0.0,0.0,0.0,0
Ultravox,3,124.31,14.0,14.0,106.83,1187.17,8
New Order,3,126.06,19.0,12.0,77.76,879.49,8
The Rolling Stones,3,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,3,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,3,193.39,24.0,24.0,101.57,472.61,8
Tangerine Dream,3,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,3,0.0,0.0,0.0,0.0,0.0,0
XTC,3,0.0,0.0,0.0,0.0,0.0,0
Yazoo,3,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,3,0.0,0.0,0.0,0.0,0.0,0
Ultravox,4,0.0,0.0,0.0,0.0,0.0,0
New Order,4,135.33,18.0,15.0,79.19,879.49,8
The Rolling Stones,4,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,4,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,4,116.21,14.0,14.0,63.18,472.61,8
Tangerine Dream,4,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,4,0.0,0.0,0.0,0.0,0.0,0
XTC,4,0.0,0.0,0.0,0.0,0.0,0
Yazoo,4,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,4,0.0,0.0,0.0,0.0,0.0,0
Ultravox,5,0.0,0.0,0.0,0.0,0.0,0
New Order,5,11.18,1.0,1.0,7.72,879.49,2
The Rolling Stones,5,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,5,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,5,36.45,4.0,4.0,21.1,472.61,4
Tangerine Dream,5,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,5,0.0,0.0,0.0,0.0,0.0,0
XTC,5,26.85,3.0,3.0,12.48,209.17,3
Yazoo,5,90.39,11.0,11.0,40.73,196.69,8
PJ Harvey,5,0.0,0.0,0.0,0.0,0.0,0
Ultravox,6,28.1,3.0,3.0,16.450000000000003,1187.17,3
New Order,6,55.7,7.0,6.0,29.55,879.49,6
The Rolling Stones,6,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,6,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,6,154.77,19.0,19.0,81.49,472.61,8
Tangerine Dream,6,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,6,0.0,0.0,0.0,0.0,0.0,0
XTC,6,9.74,1.0,1.0,4.22,209.17,1
Yazoo,6,9.68,1.0,1.0,4.09,196.69,1
PJ Harvey,6,0.0,0.0,0.0,0.0,0.0,0
Ultravox,7,0.0,0.0,0.0,0.0,0.0,0
New Order,7,43.7,5.0,5.0,21.98,879.49,5
The Rolling Stones,7,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,7,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,7,43.63,5.0,5.0,21.73,472.61,5
Tangerine Dream,7,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,7,0.0,0.0,0.0,0.0,0.0,0
XTC,7,0.0,0.0,0.0,0.0,0.0,0
Yazoo,7,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,7,0.0,0.0,0.0,0.0,0.0,0
Ultravox,8,35.51,4.0,4.0,17.82,1187.17,4
New Order,8,108.71,13.0,13.0,60.68,879.49,8
The Rolling Stones,8,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,8,42.37,5.0,5.0,17.34,665.44,5
Talking Heads,8,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,8,111.93,13.0,13.0,77.04,299.43,8
Van Der Graaf Generator,8,0.0,0.0,0.0,0.0,0.0,0
XTC,8,0.0,0.0,0.0,0.0,0.0,0
Yazoo,8,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,8,0.0,0.0,0.0,0.0,0.0,0
Ultravox,9,286.28,35.0,35.0,203.3,1187.17,8
New Order,9,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,9,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,9,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,9,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,9,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,9,0.0,0.0,0.0,0.0,0.0,0
XTC,9,0.0,0.0,0.0,0.0,0.0,0
Yazoo,9,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,9,0.0,0.0,0.0,0.0,0.0,0
Ultravox,10,0.0,0.0,0.0,0.0,0.0,0
New Order,10,43.1,5.0,5.0,19.84,879.49,5
The Rolling Stones,10,389.74,74.0,28.0,312.27,681.49,8
Franco Battiato,10,0.0,0.0,0.0,0.0,0.0,0
Talking Heads,10,0.0,0.0,0.0,0.0,0.0,0
