day,vormittags,nachmittags,abends,nachts,n_tracks,n_utracks,n_arts,gesamt
1,47.88,108.65,64.54,0.0,44,39,8,221.07
2,23.52,0.0,9.08,33.35,15,15,8,65.95
3,26.36,47.32,45.59,0.0,29,29,3,119.27
4,69.29,57.09,0.0,2.56,26,25,5,128.94
5,0.0,71.93,143.09,0.0,41,41,14,215.02
6,97.64,90.91,26.57,70.79,56,47,7,285.91
7,0.0,141.36,128.35,86.01,69,68,12,355.72
8,4.05,47.4,39.06,38.36,29,29,9,128.87
9,23.76,3.1,55.33,23.5,23,23,12,105.69
10,79.28,58.07,0.0,0.0,22,20,3,137.35
11,0.0,16.4,180.73,0.0,38,37,9,197.13
12,80.98,97.9,113.32,100.91,73,63,15,393.11
13,94.14,4.32,100.84,40.33,42,42,21,239.63
14,44.57,86.61,0.0,69.98,36,35,8,201.16
15,43.54,89.58,60.08,0.0,33,33,11,193.2
16,0.0,11.56,100.05,0.0,17,17,7,111.61
17,89.26,127.49,52.06,0.0,46,40,7,268.81
18,46.91,85.58,0.0,0.0,27,27,11,132.49
19,74.36,196.13,0.0,22.08,53,48,9,292.57
20,4.88,119.54,0.0,38.14,25,24,2,162.56
21,63.61,141.3,11.68,24.03,47,47,8,240.62
22,0.0,52.95,0.0,0.0,9,9,2,52.95
23,22.71,128.76,11.43,0.0,36,35,14,162.9
24,52.27,29.9,0.0,0.0,11,11,2,82.17
25,14.97,30.81,0.0,0.0,8,7,2,45.78
26,0.0,0.0,0.0,0.0,0,0,0,0.0
27,0.0,0.0,0.0,0.0,0,0,0,0.0
28,0.0,0.0,0.0,0.0,0,0,0,0.0
29,0.0,0.0,0.0,0.0,0,0,0,0.0
30,23.46,110.99,0.0,0.0,34,34,5,134.45
