artist_score,vormittags,nachmittags,abends,nachts,group
1119.53,343.13,352.44,170.48,222.56,New Order
655.33,84.78999999999999,303.74,92.33,3.33,Franco Battiato
488.05,89.87,146.38,16.85,142.76,Yes
476.05,62.29,238.6,28.34,16.979999999999997,Ultravox
416.12,100.6,32.63,130.77,28.85,Kajagoogoo
350.23,28.310000000000002,185.2,28.4,5.14,Tangerine Dream
346.88,5.47,138.12,79.47,4.89,Angelo Branduardi
288.5,56.62,89.73,59.730000000000004,12.8,Van Der Graaf Generator
258.06,38.39,101.53,31.79,0.0,Dissidenten
231.37,0.0,51.53,100.38,0.0,Vangelis
