day,vormittags,nachmittags,abends,nachts,n_tracks,n_utracks,n_arts,gesamt
1,72.77,13.52,84.0,0.0,27,27,12,170.29
2,76.77,168.0,72.45,0.0,50,50,26,317.21999999999997
3,133.61,92.16,137.41,99.71,64,56,18,462.89
4,77.13,135.71,0.0,113.11,51,45,21,325.95
5,83.05,199.09,142.02,67.43,92,85,47,491.59
6,101.27,177.02,128.74,96.66,111,101,52,503.69000000000005
7,55.57,88.09,38.19,17.75,52,39,19,199.6
8,19.82,118.42,168.82,20.11,64,63,27,327.17
9,60.0,57.13,97.29,29.28,50,48,7,243.70000000000002
10,140.55,108.98,65.14,13.25,56,54,17,327.92
11,0.0,61.31,96.83,0.0,21,21,3,158.14
12,76.95,5.06,145.81,0.0,43,42,7,227.82
13,109.11,111.54,70.97,0.0,51,51,6,291.62
14,0.0,121.9,81.61,0.0,32,30,6,203.51
15,80.44,94.72,94.83,0.0,56,53,8,269.99
16,71.35,117.82,104.57,10.19,64,56,12,303.93
17,18.08,112.2,13.38,28.2,33,32,6,171.85999999999999
18,61.07,144.17,71.13,48.84,50,48,8,325.21000000000004
19,30.67,72.06,0.0,80.41,32,32,11,183.14
20,68.71,171.73,14.51,30.71,56,50,10,285.65999999999997
21,67.69,12.64,55.82,0.0,24,24,15,136.15
22,80.77,68.94,152.85,0.0,62,60,24,302.55999999999995
23,3.75,123.58,128.02,51.92,62,57,18,307.27000000000004
24,158.35,88.69,101.68,0.0,70,61,12,348.72
25,53.74,129.22,95.66,0.0,59,56,8,278.62
26,111.64,114.0,34.27,0.0,55,52,19,259.90999999999997
27,108.04,65.27,0.0,4.61,39,39,17,177.92000000000002
28,8.76,116.03,37.95,0.0,31,30,12,162.74
29,25.19,125.37,30.57,0.0,38,37,6,181.13
30,42.78,64.39,15.59,6.38,26,24,9,129.14000000000001
31,38.03,0.0,0.0,75.02,22,20,5,113.05
