variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,oha,value
Van Der Graaf Generator,1,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,1,18.31,2.0,2.0,8.07,963.66,1,2
Kajagoogoo,1,0.0,0.0,0.0,0.0,0.0,1,0
Yes,1,45.58,5.0,5.0,29.080000000000002,898.61,1,5
King Crimson,1,31.88,3.0,3.0,30.25,587.92,1,4
New Order,1,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,1,36.22,4.0,4.0,20.28,515.13,1,4
Depeche Mode,1,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,1,56.31,6.0,6.0,44.769999999999996,366.5,1,6
The Dandy Warhols,1,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,2,11.4,1.0,1.0,8.3,1000.08,1,2
Franco Battiato,2,44.2,5.0,5.0,23.8,963.66,1,5
Kajagoogoo,2,0.0,0.0,0.0,0.0,0.0,1,0
Yes,2,29.55,3.0,3.0,21.43,898.61,1,3
King Crimson,2,44.92,5.0,5.0,26.53,587.92,1,5
New Order,2,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,2,36.34,4.0,4.0,20.69,515.13,1,4
Depeche Mode,2,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,2,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,2,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,3,75.66,8.0,7.0,91.82,1000.08,1,8
Franco Battiato,3,28.76,3.0,3.0,18.67,963.66,1,3
Kajagoogoo,3,0.0,0.0,0.0,0.0,0.0,1,0
Yes,3,37.76,4.0,4.0,25.92,898.61,1,4
King Crimson,3,38.04,4.0,4.0,26.979999999999997,587.92,1,4
New Order,3,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,3,40.95,5.0,4.0,26.62,515.13,1,5
Depeche Mode,3,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,3,30.18,3.0,2.0,39.79,366.5,1,4
The Dandy Warhols,3,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,4,65.31,7.0,6.0,73.82,1000.08,1,7
Franco Battiato,4,27.33,3.0,3.0,13.95,963.66,1,3
Kajagoogoo,4,0.0,0.0,0.0,0.0,0.0,1,0
Yes,4,18.68,2.0,2.0,9.06,898.61,1,2
King Crimson,4,19.85,2.0,2.0,12.459999999999999,587.92,1,2
New Order,4,19.05,2.0,2.0,10.11,570.75,1,2
Premiata Forneria Marconi,4,14.31,2.0,1.0,8.06,515.13,1,2
Depeche Mode,4,76.74,9.0,9.0,42.22,401.93,1,8
Banco Del Mutuo Soccorso,4,22.98,2.0,2.0,23.02,366.5,1,3
The Dandy Warhols,4,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,5,71.04,8.0,6.0,88.41,1000.08,1,8
Franco Battiato,5,42.68,5.0,5.0,18.4,963.66,1,5
Kajagoogoo,5,84.44,11.0,9.0,49.9,908.13,1,8
Yes,5,18.26,2.0,2.0,7.92,898.61,1,2
King Crimson,5,33.38,3.0,3.0,36.39,587.92,1,4
New Order,5,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,5,31.48,4.0,3.0,17.72,515.13,1,4
Depeche Mode,5,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,5,31.12,3.0,3.0,27.28,366.5,1,4
The Dandy Warhols,5,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,6,59.08,6.0,5.0,77.86,1000.08,1,6
Franco Battiato,6,67.23,8.0,8.0,31.68,963.66,1,7
Kajagoogoo,6,122.42,17.0,13.0,69.24,908.13,1,8
Yes,6,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,6,27.17,3.0,3.0,13.47,587.92,1,3
New Order,6,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,6,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,6,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,6,39.78,5.0,4.0,22.259999999999998,366.5,1,4
The Dandy Warhols,6,10.37,1.0,1.0,5.68,329.3,1,2
Van Der Graaf Generator,7,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,7,27.02,3.0,3.0,13.0,963.66,1,3
Kajagoogoo,7,182.84,28.0,18.0,109.91,908.13,1,8
Yes,7,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,7,11.03,1.0,1.0,7.32,587.92,1,2
New Order,7,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,7,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,7,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,7,27.23,3.0,3.0,13.649999999999999,366.5,1,3
The Dandy Warhols,7,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,8,71.0,7.0,7.0,82.75,1000.08,1,8
Franco Battiato,8,0.0,0.0,0.0,0.0,0.0,1,0
Kajagoogoo,8,9.45,1.0,1.0,3.6,908.13,1,1
Yes,8,9.61,1.0,1.0,3.93,898.61,1,1
King Crimson,8,9.65,1.0,1.0,4.03,587.92,1,1
New Order,8,11.09,1.0,1.0,7.49,570.75,1,2
Premiata Forneria Marconi,8,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,8,19.8,2.0,2.0,12.33,401.93,1,2
Banco Del Mutuo Soccorso,8,10.35,1.0,1.0,5.63,366.5,1,2
The Dandy Warhols,8,159.31,20.0,19.0,89.89,329.3,1,8
Van Der Graaf Generator,9,44.77,4.0,4.0,56.17,1000.08,1,5
Franco Battiato,9,113.48,14.0,14.0,50.08,963.66,1,8
Kajagoogoo,9,27.3,3.0,3.0,13.86,908.13,1,3
Yes,9,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,9,69.48,8.0,8.0,41.12,587.92,1,7
New Order,9,0.0,0.0,0.0,0.0,0.0,1,0
