artist,artist_id,artist_score,art_all_tracks,art_unique_tracks,art_unique_days,sum_dur_min,top_day,streak
New Order,0yNLKJebCb8Aueb54LYya3,1119.53,169,77,19,1088.61,2026-06-06,9
Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,655.33,118,66,11,484.19,2026-06-30,3
Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,416.12,65,29,17,292.85,2026-06-01,6
Yes,7AC976RDJzL2asmZuz7qil,488.05,66,29,13,395.86,2026-06-12,4
Angelo Branduardi,3qlU3Nyu3XXO2k9AUnTcy1,346.88,53,33,9,227.95,2026-06-03,3
Tangerine Dream,1BGN1IdyiSR0ZYrkoKNchl,350.23,41,36,6,247.05,2026-06-12,2
Ultravox,3iUjRVvYCsMfz7tuAQtBDI,476.05,65,49,10,346.21,2026-06-17,6
Van Der Graaf Generator,02frazNrWgZCxUEf4UTfHt,288.5,26,18,8,218.88,2026-06-11,2
Vangelis,4P70aqttdpJ9vuYFDmf7f6,231.37,24,23,4,151.91,2026-06-13,2
Dissidenten,7LGjULfs3CUorLei47BKKk,258.06,29,25,5,171.71,2026-06-14,3
