variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
New Order,1,148.2,20.0,15.0,117.99,1119.53,8
Franco Battiato,1,26.29,3.0,3.0,10.79,655.33,3
Yes,1,9.86,1.0,1.0,4.48,488.05,1
Ultravox,1,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,1,115.76,14.0,14.0,60.93,416.12,8
Tangerine Dream,1,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,1,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,1,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,1,0.0,0.0,0.0,0.0,0.0,0
Vangelis,1,0.0,0.0,0.0,0.0,0.0,0
New Order,2,19.77,2.0,2.0,12.23,1119.53,2
Franco Battiato,2,0.0,0.0,0.0,0.0,0.0,0
Yes,2,0.0,0.0,0.0,0.0,0.0,0
Ultravox,2,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,2,26.46,3.0,3.0,11.3,416.12,3
Tangerine Dream,2,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,2,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,2,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,2,0.0,0.0,0.0,0.0,0.0,0
Vangelis,2,0.0,0.0,0.0,0.0,0.0,0
New Order,3,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,3,58.88,7.0,7.0,26.369999999999997,655.33,6
Yes,3,0.0,0.0,0.0,0.0,0.0,0
Ultravox,3,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,3,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,3,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,3,170.15,21.0,21.0,88.98,346.88,8
Van Der Graaf Generator,3,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,3,0.0,0.0,0.0,0.0,0.0,0
Vangelis,3,0.0,0.0,0.0,0.0,0.0,0
New Order,4,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,4,47.06,5.0,5.0,35.04,655.33,5
Yes,4,0.0,0.0,0.0,0.0,0.0,0
Ultravox,4,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,4,51.17,6.0,6.0,23.69,416.12,6
Tangerine Dream,4,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,4,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,4,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,4,0.0,0.0,0.0,0.0,0.0,0
Vangelis,4,0.0,0.0,0.0,0.0,0.0,0
New Order,5,79.34,9.0,9.0,54.09,1119.53,8
Franco Battiato,5,0.0,0.0,0.0,0.0,0.0,0
Yes,5,28.09,3.0,3.0,16.42,488.05,3
Ultravox,5,9.83,1.0,1.0,4.41,476.05,1
Kajagoogoo,5,17.94,2.0,2.0,7.09,416.12,2
Tangerine Dream,5,10.15,1.0,1.0,5.14,350.23,2
Angelo Branduardi,5,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,5,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,5,0.0,0.0,0.0,0.0,0.0,0
Vangelis,5,0.0,0.0,0.0,0.0,0.0,0
New Order,6,204.98,28.0,21.0,173.74,1119.53,8
Franco Battiato,6,0.0,0.0,0.0,0.0,0.0,0
Yes,6,8.98,1.0,1.0,2.66,488.05,1
Ultravox,6,85.29,11.0,9.0,53.870000000000005,476.05,8
Kajagoogoo,6,9.0,1.0,1.0,2.7,416.12,1
Tangerine Dream,6,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,6,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,6,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,6,0.0,0.0,0.0,0.0,0.0,0
Vangelis,6,0.0,0.0,0.0,0.0,0.0,0
New Order,7,158.99,19.0,18.0,128.79,1119.53,8
Franco Battiato,7,168.27,21.0,21.0,78.83,655.33,8
Yes,7,18.96,2.0,2.0,9.85,488.05,2
Ultravox,7,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,7,52.72,6.0,6.0,29.61,416.12,6
Tangerine Dream,7,52.06,6.0,6.0,27.04,350.23,6
Angelo Branduardi,7,18.4,2.0,2.0,8.3,346.88,2
Van Der Graaf Generator,7,12.56,1.0,1.0,11.61,288.5,2
Dissidenten,7,0.0,0.0,0.0,0.0,0.0,0
Vangelis,7,0.0,0.0,0.0,0.0,0.0,0
New Order,8,29.26,3.0,3.0,20.43,1119.53,3
Franco Battiato,8,105.71,13.0,13.0,46.54,655.33,8
Yes,8,0.0,0.0,0.0,0.0,0.0,0
Ultravox,8,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,8,18.42,2.0,2.0,8.350000000000001,416.12,2
Tangerine Dream,8,10.15,1.0,1.0,5.14,350.23,2
Angelo Branduardi,8,51.67,6.0,6.0,25.57,346.88,6
Van Der Graaf Generator,8,12.96,1.0,1.0,12.8,288.5,2
Dissidenten,8,0.0,0.0,0.0,0.0,0.0,0
Vangelis,8,0.0,0.0,0.0,0.0,0.0,0
New Order,9,11.1,1.0,1.0,7.51,1119.53,2
Franco Battiato,9,19.59,2.0,2.0,11.68,655.33,2
Yes,9,0.0,0.0,0.0,0.0,0.0,0
Ultravox,9,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,9,10.36,1.0,1.0,5.65,416.12,2
Tangerine Dream,9,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,9,10.04,1.0,1.0,4.89,346.88,2
Van Der Graaf Generator,9,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,9,0.0,0.0,0.0,0.0,0.0,0
Vangelis,9,0.0,0.0,0.0,0.0,0.0,0
New Order,10,90.35,11.0,9.0,79.3,1119.53,8
Franco Battiato,10,0.0,0.0,0.0,0.0,0.0,0
Yes,10,70.08,8.0,8.0,43.74,488.05,8
Ultravox,10,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,10,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,10,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,10,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,10,27.45,3.0,3.0,14.34,288.5,3
Dissidenten,10,0.0,0.0,0.0,0.0,0.0,0
Vangelis,10,0.0,0.0,0.0,0.0,0.0,0
New Order,11,9.8,1.0,1.0,4.36,1119.53,1
Franco Battiato,11,0.0,0.0,0.0,0.0,0.0,0
Yes,11,0.0,0.0,0.0,0.0,0.0,0
Ultravox,11,9.86,1.0,1.0,4.48,476.05,1
Kajagoogoo,11,52.99,6.0,6.0,30.7,416.12,6
Tangerine Dream,11,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,11,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,11,81.48,9.0,9.0,64.52000000000001,288.5,8
Dissidenten,11,0.0,0.0,0.0,0.0,0.0,0
Vangelis,11,0.0,0.0,0.0,0.0,0.0,0
New Order,12,77.07,9.0,9.0,43.7,1119.53,8
Franco Battiato,12,0.0,0.0,0.0,0.0,0.0,0
Yes,12,136.09,21.0,11.0,123.32,488.05,8
Ultravox,12,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,12,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,12,144.95,17.0,17.0,104.75,350.23,8
Angelo Branduardi,12,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,12,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,12,0.0,0.0,0.0,0.0,0.0,0
Vangelis,12,61.09,7.0,7.0,35.19,231.37,7
New Order,13,55.3,6.0,6.0,40.33,1119.53,6
Franco Battiato,13,18.41,2.0,2.0,8.33,655.33,2
Yes,13,9.61,1.0,1.0,3.93,488.05,1
Ultravox,13,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,13,9.45,1.0,1.0,3.6,416.12,1
Tangerine Dream,13,11.56,1.0,1.0,8.75,350.23,2
Angelo Branduardi,13,18.94,2.0,2.0,9.79,346.88,2
Van Der Graaf Generator,13,12.56,1.0,1.0,11.61,288.5,2
Dissidenten,13,46.26,5.0,5.0,31.79,258.06,5
Vangelis,13,81.62,9.0,9.0,65.19,231.37,8
New Order,14,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,14,0.0,0.0,0.0,0.0,0.0,0
Yes,14,95.73,11.0,11.0,65.76,488.05,8
Ultravox,14,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,14,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,14,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,14,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,14,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,14,131.58,16.0,15.0,91.34,258.06,8
Vangelis,14,0.0,0.0,0.0,0.0,0.0,0
New Order,15,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,15,0.0,0.0,0.0,0.0,0.0,0
Yes,15,48.14,5.0,5.0,39.62,488.05,5
Ultravox,15,9.59,1.0,1.0,3.89,476.05,1
Kajagoogoo,15,9.57,1.0,1.0,3.85,416.12,1
Tangerine Dream,15,129.45,15.0,15.0,96.23,350.23,8
Angelo Branduardi,15,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,15,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,15,9.6,1.0,1.0,3.92,258.06,1
Vangelis,15,36.63,4.0,4.0,21.75,231.37,4
New Order,16,65.05,7.0,7.0,52.73,1119.53,7
Franco Battiato,16,0.0,0.0,0.0,0.0,0.0,0
Yes,16,0.0,0.0,0.0,0.0,0.0,0
Ultravox,16,0.0,0.0,0.0,0.0,0.0,0
Kajagoogoo,16,18.76,2.0,2.0,9.280000000000001,416.12,2
Tangerine Dream,16,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,16,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,16,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,16,0.0,0.0,0.0,0.0,0.0,0
Vangelis,16,0.0,0.0,0.0,0.0,0.0,0
New Order,17,85.68,11.0,8.0,75.72,1119.53,8
Franco Battiato,17,0.0,0.0,0.0,0.0,0.0,0
Yes,17,0.0,0.0,0.0,0.0,0.0,0
Ultravox,17,157.74,19.0,19.0,97.83,476.05,8
Kajagoogoo,17,52.89,7.0,5.0,34.36,416.12,6
Tangerine Dream,17,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,17,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,17,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,17,0.0,0.0,0.0,0.0,0.0,0
Vangelis,17,38.76,4.0,4.0,29.78,231.37,4
New Order,18,10.75,1.0,1.0,6.61,1119.53,2
Franco Battiato,18,0.0,0.0,0.0,0.0,0.0,0
Yes,18,10.74,1.0,1.0,6.58,488.05,2
Ultravox,18,18.69,2.0,2.0,9.09,476.05,2
Kajagoogoo,18,19.9,2.0,2.0,12.61,416.12,2
Tangerine Dream,18,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,18,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,18,35.89,4.0,4.0,19.12,288.5,4
Dissidenten,18,0.0,0.0,0.0,0.0,0.0,0
Vangelis,18,0.0,0.0,0.0,0.0,0.0,0
New Order,19,72.99,8.0,8.0,57.22,1119.53,8
Franco Battiato,19,118.3,16.0,13.0,63.62,655.33,8
Yes,19,52.82,6.0,5.0,47.04,488.05,6
Ultravox,19,19.83,2.0,2.0,12.42,476.05,2
Kajagoogoo,19,23.61,3.0,2.0,14.85,416.12,3
Tangerine Dream,19,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,19,91.5,11.0,11.0,45.6,346.88,8
Van Der Graaf Generator,19,41.2,4.0,4.0,39.87,288.5,5
Dissidenten,19,0.0,0.0,0.0,0.0,0.0,0
Vangelis,19,0.0,0.0,0.0,0.0,0.0,0
New Order,20,149.47,18.0,17.0,113.66,1119.53,8
Franco Battiato,20,0.0,0.0,0.0,0.0,0.0,0
Yes,20,0.0,0.0,0.0,0.0,0.0,0
Ultravox,20,64.23,7.0,7.0,48.93,476.05,7
Kajagoogoo,20,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,20,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,20,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,20,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,20,0.0,0.0,0.0,0.0,0.0,0
Vangelis,20,0.0,0.0,0.0,0.0,0.0,0
New Order,21,47.17,5.0,5.0,35.51,1119.53,5
Franco Battiato,21,0.0,0.0,0.0,0.0,0.0,0
Yes,21,44.84,5.0,5.0,26.22,488.05,5
Ultravox,21,108.82,13.0,13.0,61.23,476.05,8
Kajagoogoo,21,43.58,5.0,5.0,21.55,416.12,5
Tangerine Dream,21,0.0,0.0,0.0,0.0,0.0,0
Angelo Branduardi,21,43.37,5.0,5.0,20.82,346.88,5
Van Der Graaf Generator,21,0.0,0.0,0.0,0.0,0.0,0
Dissidenten,21,55.4,6.0,6.0,40.74,258.06,6
Vangelis,21,0.0,0.0,0.0,0.0,0.0,0
New Order,22,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,22,0.0,0.0,0.0,0.0,0.0,0
Yes,22,0.0,0.0,0.0,0.0,0.0,0
