track,track_id,artist,artist_id,album_id,album_name,track_score,plays,track_unique_days,dur_min
Tutti frutti,3DJAKzCeFluwTi9twyHxGK,New Order,0yNLKJebCb8Aueb54LYya3,1INPNU4BLdbKeLQqcYTGnx,Music Complete,45.78879928209453,12,12,6.38
People on the High Line - Claptone Remix,3MWc38U5zCncMm1xrNM5vv,New Order,0yNLKJebCb8Aueb54LYya3,5w2Hr6P21D2VaEYNTK8KWS,People on the High Line,42.26795700612414,11,11,6.31
Plastic - Extended Mix,0VyeBj71jyEFUqcQBLXltf,New Order,0yNLKJebCb8Aueb54LYya3,7Hm47KQv4uPp1ijUhmyqea,Complete Music,39.52741648183597,10,10,9.11
Blue Monday,6hHc7Pks7wtBIW8Z6A0iFq,New Order,0yNLKJebCb8Aueb54LYya3,6iHuSGy6pq4tNGFV3ZVPtl,Substance,32.1051796550212,8,8,7.49
Are 'Friends' Electric?,0VktLUEpFVQ7Zl5c80uKHH,Gary Numan,5KQMtyPE8DCQNUzoNqlEsE,2wWcTC2GHLEGLDlsnr5aYM,Replicas Redux,31.492134018046844,8,8,5.42
Tutti frutti - Extended Mix,0LPSm1o7Ety9fLnkbh8MUT,New Order,0yNLKJebCb8Aueb54LYya3,7Hm47KQv4uPp1ijUhmyqea,Complete Music,28.76643879599837,7,7,8.09
The Lion's Mouth - Beast Mix,6RtyDR21q21OXaoKXoAsJK,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,0xM84XzqFGTDsFjPgCrXh9,Islands,28.065459297201414,7,7,5.65
Aurora,2F13GShAqERTs7kg9wrfZD,Yes,7AC976RDJzL2asmZuz7qil,5TDltjAh03cwDinX4SXwnR,Aurora (Bonus Tracks Edition),25.08595154156287,6,6,7.42
Stray Dog,3prm93FbxKGzwy0TxtXZHH,New Order,0yNLKJebCb8Aueb54LYya3,1INPNU4BLdbKeLQqcYTGnx,Music Complete,24.76497011940334,6,6,6.3
Ariadne,5URviaygae7qWBkehczy9L,Yes,7AC976RDJzL2asmZuz7qil,5TDltjAh03cwDinX4SXwnR,Aurora (Bonus Tracks Edition),24.74699879903904,6,6,6.24
Cats Under The Stars,5s6gA3IQTbVqv8utc5jVcn,Jerry Garcia Band,1YTe4dNIoWX3iHX8H4xVeM,4yMdFHGZTkXQsU4M55VjeZ,Cats Under the Stars (Expanded),24.52420203734122,6,6,5.52
Blue Monday '88,31MOjWj3CT3dCQsMV2b8Wu,New Order,0yNLKJebCb8Aueb54LYya3,6cjugjFHB3T1alJxAffyxQ,The Best of New Order,24.029851481508622,6,6,4.08
White China - 2009 Remaster,1bVYSVOMiFR6GzOUm7WDi2,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,15BhyErNMCS96rXaeAkMre,Lament (2009 Remaster),23.958462438497403,6,6,3.89
State Farm - 2008 Remaster,6wbTZH2TPKOUIwYD31j4eb,Yazoo,1G1mX30GpUJqOr1QU2eBSs,73oH4rFKRYCOigEORQ6QEf,Nobody's Diary (2008 Remaster),23.85,6,6,3.61
Countermovement,4e9w7ixPl6L3fnH1naYdnd,Yes,7AC976RDJzL2asmZuz7qil,5TDltjAh03cwDinX4SXwnR,Aurora (Bonus Tracks Edition),23.06012589785519,5,5,13.74
People on the High Line - Extended Mix,0T5ZpV04Eu6KynTHHcYeHD,New Order,0yNLKJebCb8Aueb54LYya3,7Hm47KQv4uPp1ijUhmyqea,Complete Music,21.705353730662857,5,5,7.86
Love Lies Dreaming,6nMY6W3CvmBEOHTGrlm6PC,Yes,7AC976RDJzL2asmZuz7qil,5TDltjAh03cwDinX4SXwnR,Aurora (Bonus Tracks Edition),21.297696670351648,5,5,6.41
Turnaround Situation,3q7sMXpdoCAC1BpAaeZIPJ,Yes,7AC976RDJzL2asmZuz7qil,5TDltjAh03cwDinX4SXwnR,Aurora (Bonus Tracks Edition),21.115591237958185,5,5,5.81
People on the High Line,73brD7omGt5F2zbCqRO7cf,New Order,0yNLKJebCb8Aueb54LYya3,7Hm47KQv4uPp1ijUhmyqea,Complete Music,21.07805813256297,5,5,5.69
Singularity,5BO9YsuvEQ3rtIA8bjPXhX,New Order,0yNLKJebCb8Aueb54LYya3,1INPNU4BLdbKeLQqcYTGnx,Music Complete,21.05598087733891,5,5,5.62
