artist,artist_id,artist_score,art_all_tracks,art_unique_tracks,art_unique_days,sum_dur_min,top_day,streak
Yes,7AC976RDJzL2asmZuz7qil,898.61,136,51,20,841.04,2026-05-18,6
King Crimson,7M1FPw29m5FbicYzS2xdpi,587.92,82,40,25,465.03,2026-05-09,10
Premiata Forneria Marconi,1MD5pgVzlusqGyuSTcTxvu,515.13,82,37,16,388.40000000000003,2026-05-16,5
Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,963.66,182,94,24,759.43,2026-05-25,7
Banco Del Mutuo Soccorso,4RuYtHjAKBufQRqBUMiOfK,366.5,41,27,13,271.44,2026-05-15,6
Van Der Graaf Generator,02frazNrWgZCxUEf4UTfHt,1000.08,108,57,18,1043.34,2026-05-11,7
New Order,0yNLKJebCb8Aueb54LYya3,570.75,75,48,13,459.11,2026-05-23,10
Depeche Mode,762310PdDnwsDxAQxzQkfX,401.93,52,27,12,304.98,2026-05-24,6
Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,908.13,176,71,21,742.9300000000001,2026-05-20,12
The Dandy Warhols,7siPLyFwRFYQkKgWKJ5Sod,329.3,52,31,5,218.63,2026-05-08,3
