variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
Vangelis,17,38.76,4,4,29.78,231.37,4
Vangelis,15,36.63,4,4,21.75,231.37,4
Vangelis,13,81.62,9,9,65.19,231.37,8
Vangelis,12,61.09,7,7,35.19,231.37,7
Dissidenten,23,9.6,1,1,3.92,258.06,1
Dissidenten,21,55.4,6,6,40.74,258.06,6
Dissidenten,15,9.6,1,1,3.92,258.06,1
Dissidenten,14,131.58,16,15,91.34,258.06,8
Dissidenten,13,46.26,5,5,31.79,258.06,5
Van Der Graaf Generator,24,35.37,3,3,45.01,288.5,4
Van Der Graaf Generator,19,41.2,4,4,39.87,288.5,5
Van Der Graaf Generator,18,35.89,4,4,19.12,288.5,4
Van Der Graaf Generator,13,12.56,1,1,11.61,288.5,2
Van Der Graaf Generator,11,81.48,9,9,64.52000000000001,288.5,8
Van Der Graaf Generator,10,27.45,3,3,14.34,288.5,3
Van Der Graaf Generator,8,12.96,1,1,12.8,288.5,2
Van Der Graaf Generator,7,12.56,1,1,11.61,288.5,2
Angelo Branduardi,30,9.97,1,1,4.74,346.88,1
Angelo Branduardi,23,35.93,4,4,19.259999999999998,346.88,4
Angelo Branduardi,21,43.37,5,5,20.82,346.88,5
Angelo Branduardi,19,91.5,11,11,45.6,346.88,8
Angelo Branduardi,13,18.94,2,2,9.79,346.88,2
Angelo Branduardi,9,10.04,1,1,4.89,346.88,2
Angelo Branduardi,8,51.67,6,6,25.57,346.88,6
Angelo Branduardi,7,18.4,2,2,8.3,346.88,2
Angelo Branduardi,3,170.15,21,21,88.98,346.88,8
Tangerine Dream,15,129.45,15,15,96.23,350.23,8
Tangerine Dream,13,11.56,1,1,8.75,350.23,2
Tangerine Dream,12,144.95,17,17,104.75,350.23,8
Tangerine Dream,8,10.15,1,1,5.14,350.23,2
Tangerine Dream,7,52.06,6,6,27.04,350.23,6
Tangerine Dream,5,10.15,1,1,5.14,350.23,2
Kajagoogoo,23,26.93,3,3,12.73,416.12,3
Kajagoogoo,21,43.58,5,5,21.55,416.12,5
Kajagoogoo,19,23.61,3,2,14.85,416.12,3
Kajagoogoo,18,19.9,2,2,12.61,416.12,2
Kajagoogoo,17,52.89,7,5,34.36,416.12,6
Kajagoogoo,16,18.76,2,2,9.280000000000001,416.12,2
Kajagoogoo,15,9.57,1,1,3.85,416.12,1
Kajagoogoo,13,9.45,1,1,3.6,416.12,1
Kajagoogoo,11,52.99,6,6,30.7,416.12,6
Kajagoogoo,9,10.36,1,1,5.65,416.12,2
Kajagoogoo,8,18.42,2,2,8.350000000000001,416.12,2
Kajagoogoo,7,52.72,6,6,29.61,416.12,6
Kajagoogoo,6,9.0,1,1,2.7,416.12,1
Kajagoogoo,5,17.94,2,2,7.09,416.12,2
Kajagoogoo,4,51.17,6,6,23.69,416.12,6
Kajagoogoo,2,26.46,3,3,11.3,416.12,3
Kajagoogoo,1,115.76,14,14,60.93,416.12,8
Ultravox,22,71.48,8,8,50.06,476.05,8
Ultravox,21,108.82,13,13,61.23,476.05,8
Ultravox,20,64.23,7,7,48.93,476.05,7
Ultravox,19,19.83,2,2,12.42,476.05,2
Ultravox,18,18.69,2,2,9.09,476.05,2
Ultravox,17,157.74,19,19,97.83,476.05,8
Ultravox,15,9.59,1,1,3.89,476.05,1
Ultravox,11,9.86,1,1,4.48,476.05,1
Ultravox,6,85.29,11,9,53.870000000000005,476.05,8
Ultravox,5,9.83,1,1,4.41,476.05,1
Yes,23,10.6,1,1,6.24,488.05,2
Yes,21,44.84,5,5,26.22,488.05,5
Yes,19,52.82,6,5,47.04,488.05,6
Yes,18,10.74,1,1,6.58,488.05,2
Yes,15,48.14,5,5,39.62,488.05,5
Yes,14,95.73,11,11,65.76,488.05,8
Yes,13,9.61,1,1,3.93,488.05,1
Yes,12,136.09,21,11,123.32,488.05,8
Yes,10,70.08,8,8,43.74,488.05,8
Yes,7,18.96,2,2,9.85,488.05,2
Yes,6,8.98,1,1,2.66,488.05,1
Yes,5,28.09,3,3,16.42,488.05,3
Yes,1,9.86,1,1,4.48,488.05,1
Franco Battiato,30,231.23,29,29,118.17999999999999,655.33,8
Franco Battiato,24,68.56,8,8,37.16,655.33,7
Franco Battiato,23,94.95,12,11,47.65,655.33,8
Franco Battiato,19,118.3,16,13,63.62,655.33,8
Franco Battiato,13,18.41,2,2,8.33,655.33,2
Franco Battiato,9,19.59,2,2,11.68,655.33,2
Franco Battiato,8,105.71,13,13,46.54,655.33,8
Franco Battiato,7,168.27,21,21,78.83,655.33,8
Franco Battiato,4,47.06,5,5,35.04,655.33,5
Franco Battiato,3,58.88,7,7,26.369999999999997,655.33,6
Franco Battiato,1,26.29,3,3,10.79,655.33,3
New Order,25,59.28,7,6,44.61,1119.53,6
New Order,23,29.16,3,3,20.08,1119.53,3
New Order,21,47.17,5,5,35.51,1119.53,5
New Order,20,149.47,18,17,113.66,1119.53,8
New Order,19,72.99,8,8,57.22,1119.53,8
New Order,18,10.75,1,1,6.61,1119.53,2
New Order,17,85.68,11,8,75.72,1119.53,8
New Order,16,65.05,7,7,52.73,1119.53,7
New Order,13,55.3,6,6,40.33,1119.53,6
New Order,12,77.07,9,9,43.7,1119.53,8
New Order,11,9.8,1,1,4.36,1119.53,1
New Order,10,90.35,11,9,79.3,1119.53,8
New Order,9,11.1,1,1,7.51,1119.53,2
New Order,8,29.26,3,3,20.43,1119.53,3
New Order,7,158.99,19,18,128.79,1119.53,8
New Order,6,204.98,28,21,173.74,1119.53,8
New Order,5,79.34,9,9,54.09,1119.53,8
New Order,2,19.77,2,2,12.23,1119.53,2
New Order,1,148.2,20,15,117.99,1119.53,8
