day,score
1,0.0
2,0.0
3,0.0
4,25.6
5,25.6
6,25.6
7,25.6
8,40.25
9,40.25
10,40.25
11,40.25
12,40.25
13,40.25
14,40.25
15,40.25
16,40.25
17,40.25
18,40.25
19,40.25
20,74.28
21,74.28
22,96.29
23,210.84
24,280.44
25,298.51
26,324.89
27,338.78
28,362.35
29,469.93
30,546.86
31,570.75
32,679.42
33,691.14
34,691.14
35,691.14
36,743.56
37,898.16
38,1025.3
39,1042.23
40,1050.78
41,1115.46
42,1122.06
43,1166.01
44,1200.27
45,1200.27
46,1200.27
47,1239.59
48,1297.37
49,1303.67
50,1345.88
51,1431.03
52,1457.36
53,1457.36
54,1473.03
55,1473.03
56,1507.75
57,1507.75
58,1507.75
59,1507.75
60,1507.75
61,1507.75
62,1507.75
63,1562.54
64,1635.99
65,1701.32
66,1707.98
67,1735.35
68,1756.62
69,1807.97
70,1807.97
71,1825.0
72,1825.0
73,1825.0
74,1829.47
75,1848.22
76,1848.22
77,1848.22
78,1848.22
79,1904.35
80,1904.35
81,1904.35
82,1910.74
83,1910.74
84,1934.37
85,1957.59
86,1957.59
87,1957.59
88,1957.59
89,2042.68
90,2161.79
91,2161.79
92,2161.79
